customer_id,song_id,score
H16752,6202,2
H9532,1670,4
H52752,384,5
L25726,1813,4
K20085,1983,3
K1195,993,4
F12670,189,3
M11957,3729,2
F20410,1265,5
O18979,24,4
G32721,18,5
N30908,1668,4
G2861,1392,4
J29964,4,5
M5497,18,5
K27125,913,3
M11627,4158,3
L4546,12,5
J19264,195,3
H46162,2535,5
K38875,61,5
I46333,1076,3
G48821,2420,5
K21835,6221,4
O8169,194,3
J28934,1059,5
O49849,1,3
N25798,36,4
L7456,338,1
I50773,558,2
G12061,641,4
K53305,7197,5
O27709,21,5
K49205,4076,3
G2441,102,4
O36809,2,5
O36339,9228,5
N29438,3003,5
I40973,8155,5
M7077,4347,4
H26912,1660,4
K46785,1900,4
K21775,356,3
O6249,3948,5
M6247,229,2
I4403,440,4
F4100,6283,2
M33617,782,3
H12972,4432,5
H42682,93,3
G45511,342,3
K44815,2780,5
L26776,205,3
L52226,31,3
I19893,15,4
J35704,1923,5
N21628,1282,4
H47582,452,4
J46734,3297,3
G29791,865,4
N14718,140,5
O46269,9594,4
L33086,8775,5
G9551,136,4
F37230,539,4
K27205,117,4
O49879,2007,5
L41746,148,3
J14664,108,4
N13028,8832,4
J19614,2384,4
M15057,891,5
G15461,9094,5
O21209,140,4
J39144,212,3
K34675,681,3
M2067,36,3
F44950,1199,4
H40742,12,5
H10182,9254,5
J24624,3,5
N16828,587,3
M77,635,2
F40490,500,4
L44626,1979,3
G47811,7884,4
I29713,5491,3
I31633,2304,3
I5973,364,3
O8169,6054,4
J6634,225,4
M38827,5522,5
G39591,987,5
K22615,6909,4
I46903,1450,5
G49771,8630,3
N21798,8348,2
H50152,533,2
K23085,2409,5
H30082,3362,4
F39450,1155,4
G26341,6003,5
O50079,6888,5
M24497,440,4
O20379,28,4
N36268,541,4
O8239,596,5
K38535,338,4
H51262,1785,4
L21606,347,5
O22119,8,4
H28962,14,5
K23595,19,5
O50999,360,2
L11476,3527,5
G37991,7,5
K37625,25,5
O52429,171,3
H23932,611,2
M10857,409,5
N22838,285,5
H21722,8,3
M14367,9285,4
L46236,2346,4
M9267,2314,4
N14658,2370,4
O7549,6066,2
K23335,969,3
N15568,389,4
J5254,143,4
J8384,27,5
L38176,506,3
H44742,369,5
L31956,25,4
K40765,539,5
F29560,1042,3
O20479,603,5
G42481,6385,2
J6774,3877,3
N27238,5015,5
K6315,409,5
F2770,2407,5
F38170,4603,5
O44269,104,4
J3884,117,5
O50819,8642,4
I7963,6144,3
I25513,8615,4
K46965,8332,3
O52959,302,5
M12987,5730,4
O26029,163,5
N28308,25,5
K52175,183,5
J11874,115,5
J43814,7169,3
G46581,285,4
I19173,5152,4
F16980,2037,3
O13779,2316,4
I6873,1892,3
I37293,4073,2
J15084,2715,3
N31818,2177,3
H34272,4667,5
G5531,572,3
F32490,75,2
F19870,63,3
O51859,2619,4
I20563,4787,3
H33372,5067,4
N42678,346,5
N8578,268,2
F45660,213,5
N4438,1725,5
H42042,5705,4
O40599,1387,5
N13658,192,3
L32416,7175,5
H15732,441,4
N12208,150,5
J24834,1411,5
J24654,5139,5
K51065,1201,4
L23746,3402,5
M47327,254,5
I9513,5584,1
M42997,1122,3
G27611,5114,4
I14983,8,3
O41599,2159,2
F3770,2058,3
O23839,411,4
M11957,1909,5
N17418,63,3
O18779,958,5
L24056,340,5
N14748,144,5
G11001,161,5
J30474,2868,3
L9816,1684,4
H25812,1422,4
I20693,820,3
H23342,464,4
J44624,168,4
F11450,2374,5
G12911,98,5
L17316,138,1
I49293,684,5
G17451,17,4
J7664,829,5
N15108,164,4
J10944,26,1
N40528,4540,1
N9778,5072,4
G42551,141,5
L18266,733,5
N41628,2890,4
K17695,5023,3
M44547,6127,3
N47518,2222,5
L45266,3502,5
I30953,4333,5
I44263,995,4
K34275,6325,5
L346,1220,4
I28203,9298,3
M137,503,3
M6217,22,5
H29872,636,5
O35989,27,4
N45428,2658,4
O34109,2,4
L35586,2322,4
J28184,1461,4
K2435,376,4
O18619,11,4
L26776,3517,3
G28011,733,3
L50566,2083,5
O35429,2124,4
J23844,8773,5
M17267,2938,4
H52402,877,5
O51589,257,5
N41528,207,3
O51009,249,5
M2407,293,4
G631,764,3
M10247,6198,3
O29219,76,2
L26716,367,2
L346,2246,4
F32710,2045,2
K21355,32,4
L46876,17,5
G37991,6833,3
G41961,204,3
K21215,15,4
L46506,3145,5
K45125,644,5
H21102,14,3
L32956,1070,5
F43150,9121,5
O23559,7927,3
O40639,538,3
G19931,989,4
F48680,785,5
F8420,138,4
J24624,3391,5
L45386,988,3
O8639,688,4
J23854,6205,5
G26331,4343,4
H45332,768,4
I22963,653,5
F46570,2358,4
J33894,507,4
G44601,5490,4
F30570,9460,5
O28079,919,4
O24479,304,4
I13033,741,5
J19654,111,4
N41468,469,5
O15299,145,3
M8547,328,4
F41970,7494,4
F12190,416,4
O40379,3745,5
I40193,614,3
N14008,593,5
G21781,1038,4
N31628,410,3
G38801,311,5
N7838,84,3
F22210,110,4
I44123,793,3
M31557,5933,5
H43112,118,4
H32912,3289,4
K18925,9,5
H15242,6447,4
N41568,2450,4
K36395,40,5
G761,39,4
N20038,32,3
G26331,91,3
K11315,1772,5
M50617,4272,4
F31310,1407,2
L41686,277,3
F44150,20,5
L31646,1524,5
F33320,90,4
J34514,333,2
J12014,1266,3
O21889,1100,4
F24080,2057,2
G51751,2802,4
J24284,2169,3
N40868,503,4
H5302,520,3
J27064,1170,3
K22005,573,2
K47515,405,4
O16169,2174,4
L52156,2813,3
M2547,4800,5
F20290,7195,5
K32435,148,4
F35650,150,4
L34386,6835,4
I24773,8085,5
H20212,100,3
M41057,155,3
J50504,3856,3
L39476,2017,2
H20002,233,5
F51120,355,5
F48420,2,5
O3209,18,5
F50390,2275,3
J20064,3693,5
J31884,1475,5
H37402,874,4
O42089,1249,4
O32729,4602,3
O829,922,3
I34463,3767,3
H1532,116,3
N22138,1363,5
L616,58,3
I51923,1501,3
I30883,742,4
N33358,450,5
L46016,174,4
K38835,3247,4
F52490,35,4
I28703,110,4
N42248,154,5
J19524,205,4
M52357,37,5
H48782,582,5
O27879,2235,5
M20557,594,4
K26565,770,4
H28552,159,4
J50754,6275,5
K30805,9945,5
H52402,859,5
M26437,20,4
F39310,4981,4
H23502,1041,3
O45239,23,5
N19058,2458,3
O21309,2390,5
I46473,364,4
I8503,1506,4
G45001,5696,2
G35811,84,5
M24287,1079,2
I33943,8874,4
L38656,289,5
O47989,9567,4
H53252,1806,4
O45759,2233,3
F11180,1908,4
G6221,16,4
N29938,6685,3
H8782,1699,5
J38994,5199,5
L25476,3165,5
F51440,650,4
K15615,7589,3
H29382,8668,5
F7510,1948,4
I18613,42,4
O5269,2012,3
K23075,463,3
O52079,97,3
I21383,8899,4
L25966,72,3
G23971,712,5
M46877,911,5
O41629,301,5
K15425,40,2
K6265,34,4
O28259,1422,5
H36522,753,3
N52628,2403,2
H28122,205,4
G33681,2592,4
J37774,57,4
H17482,615,3
H30312,6692,4
I4743,472,5
O29199,21,5
G4731,1481,3
M31317,7701,2
L35876,257,5
K49925,1175,5
N12788,132,3
M46267,2,5
I52073,2783,3
O4489,560,2
L40916,195,5
F6370,1695,5
K26565,116,4
F48100,558,5
G1551,7556,5
J16424,40,1
K1285,1371,3
I37513,1890,4
O249,173,4
M6817,7528,4
F5180,2326,5
N27668,557,3
K35195,2218,5
I16793,95,3
N27108,1280,4
K40045,531,3
M32647,53,2
I30423,2705,2
M6427,764,2
K27165,140,5
F15530,4905,4
F2490,6873,5
L40476,6437,3
M1737,39,4
L6086,101,4
L32566,87,5
K6345,912,3
J43714,268,5
M50347,1165,3
K41285,250,5
G31721,787,5
O7769,39,4
F39610,2845,4
H16812,534,4
H15662,7074,5
H22092,37,5
K52245,74,4
O51979,820,2
O17689,4509,3
H7942,5156,5
N17008,185,2
L44796,4950,5
M6187,241,5
M29777,981,4
F44150,337,4
G31941,2549,5
J10314,4891,5
K16915,3323,4
M1387,250,4
N22178,6004,4
L52446,8974,4
N52848,439,5
M7517,348,3
G33191,1057,4
L16296,107,5
K1195,1649,2
G25811,3358,4
N25648,7495,4
O9749,326,4
L20586,26,5
F2900,1185,2
M7617,59,3
G33891,2611,3
N37858,363,3
M38197,630,4
K50115,696,5
L49756,92,4
H47422,85,5
K135,910,5
H23942,3245,4
H11332,8051,4
L10456,3040,4
F22140,4053,4
N18528,5244,2
M20397,2634,2
L9216,127,4
M34747,3969,5
F17330,93,5
J7674,5934,4
M827,836,3
F36320,186,5
H35222,16,4
H4692,1121,4
M25537,314,5
N13618,342,4
M24437,467,4
L37766,981,3
N2108,1537,2
N1078,6342,3
N35768,3049,3
N37198,5376,5
J46454,129,2
M6247,1172,4
G45761,1819,3
I28623,3827,5
K22185,335,5
I18343,726,3
O26129,83,4
O33739,305,5
N13618,1708,1
M52897,229,3
I40823,44,3
H3532,560,4
I13713,1718,5
H16532,2816,5
G3111,8672,5
J51414,117,1
J37454,561,4
O34599,180,4
F38370,1845,3
F42170,2979,4
N25088,1219,3
L25136,57,5
J15444,73,5
M22197,322,4
L23006,1024,4
F38860,6244,5
N47338,7015,5
G34371,1295,3
I22923,1582,5
F22280,148,3
G22151,132,3
N15768,6999,2
N30868,23,4
H7102,736,5
F3820,2954,3
K21475,798,5
O36309,1260,5
O30749,475,5
M1747,887,3
O43669,813,4
F17030,2243,3
O24149,5968,5
J48914,428,5
N50048,5866,4
M677,945,4
J37854,218,5
G29371,3231,1
I29483,3078,3
F3610,7,3
J35714,1240,5
K23835,3109,5
L40476,300,2
L30906,4637,3
F2170,403,5
M35297,4367,3
J16594,652,5
L23446,17,4
F18100,2004,4
H45422,338,4
H37742,7770,4
G49351,7829,5
O38549,1878,3
L53196,299,4
O53319,631,5
I41413,1274,5
G49341,48,5
K31955,2915,4
K46405,384,4
G17361,3012,5
N3978,20,3
F2710,1124,4
J22964,1712,4
N5308,3747,3
H41332,3383,3
N45868,7721,3
O16389,4189,4
H50222,759,4
L48676,465,4
H50512,222,5
M17617,3076,5
L15496,137,4
K24975,190,5
N23018,97,5
N15368,81,4
F42790,6217,2
I47533,560,5
G7521,205,3
N45348,7019,3
K13035,29,4
K51775,409,5
N35748,3531,5
L12346,2931,4
J36454,606,4
F42080,1286,4
L21036,2451,5
G13061,495,2
M7637,190,3
M24517,2640,4
I42193,376,1
K44435,4186,4
G7961,3188,5
G25701,138,4
O37299,61,5
G14251,2488,2
K42355,2103,5
F25470,24,4
J25264,1027,5
F50560,3855,5
H29362,2388,3
K31585,1621,5
I14193,2829,4
L50486,61,4
J32744,8180,3
N30188,239,4
I46333,1145,5
G33201,2758,4
F16560,740,4
J25114,119,3
O20859,695,5
G51081,3283,4
K36395,878,5
J2594,6858,3
O33229,1421,4
N15488,4675,3
M36897,4111,4
G1791,98,1
O36759,3948,4
M2847,21,3
J27674,1216,2
H24722,148,4
G40091,37,5
J47684,5328,5
O17989,2472,3
L45846,2836,5
F25190,470,5
M19577,6,3
J8954,5,5
H47282,723,4
J36574,396,3
K47235,314,4
G47491,1630,5
N8788,3199,2
N4488,7022,5
N52078,140,5
M41307,2813,4
G28511,121,5
K47355,763,5
J31304,7911,5
M41617,1378,5
F49850,887,4
J45684,1704,3
F5020,273,2
M19627,569,2
G5161,4877,3
K41215,9583,5
L46796,2785,4
K21945,165,2
G38661,4465,4
M7987,973,3
G29491,96,3
H27092,64,5
M46837,6269,5
F8470,668,4
G49901,2986,4
G30131,33,3
G7441,93,3
L32436,1765,3
N38638,1098,4
K7495,2775,4
G28751,392,5
I40313,1473,3
N31898,2,4
G27591,3760,3
H16182,1494,5
F29850,108,2
I25993,641,5
F290,518,3
K10995,517,3
H46872,2466,5
I11153,4611,5
H25792,3619,4
N17008,179,5
I2673,359,4
J10204,5389,5
H52832,51,4
N45858,481,3
K46415,444,4
L16576,1456,4
G17241,9318,5
L40746,2129,4
L47476,4232,4
O17809,792,4
I52523,1145,2
O24329,19,5
N30078,4079,4
L14016,1653,3
K40695,8206,5
F39420,3073,2
K51775,2677,3
K47635,21,4
I30723,271,4
H46792,9804,5
N43968,1926,5
N6848,9373,4
O35929,82,4
M48857,125,5
O47909,1470,5
M27687,9320,5
L9466,457,5
J16504,4127,4
G4661,8413,4
K46975,2694,3
M45017,1771,4
F1440,2644,4
I18343,886,4
L27486,70,2
N22218,178,5
I42793,2418,5
M51887,1801,5
I40083,590,5
J47354,2454,3
K51065,51,2
H30392,4493,5
F35600,2276,5
G50951,25,5
N45928,2018,4
L35586,93,5
N15638,2424,2
N15998,7728,2
G29791,6888,3
F35070,2923,4
G50221,8966,3
F880,1365,4
N9788,691,4
J1654,1484,3
N34778,4406,1
F5150,2472,4
O6499,85,3
J47984,7078,5
J26914,651,4
K39865,6089,5
J23234,853,3
F6200,17,4
H20222,3367,4
K14595,337,5
M917,3123,3
G39091,825,3
N23278,1665,4
J14474,6759,5
H29422,3313,4
N50028,693,5
J38174,409,3
J41164,20,2
K32185,3607,5
G9871,1339,4
K34975,35,4
K50775,7764,5
M35097,163,5
F39430,6509,4
I29053,2799,4
M25737,965,3
F15960,25,4
L41746,369,1
G42481,763,3
F38980,23,4
G49791,873,4
N17808,5910,4
M21067,66,3
H38752,515,4
H26502,964,5
M6847,1028,4
N178,7559,5
N51548,9212,5
K28525,2055,3
F21600,107,4
M33177,2578,5
H40202,2614,5
I49213,3573,3
G11751,2024,3
F37560,3282,5
J41624,382,4
O39119,341,5
F2760,3504,3
F49930,1015,5
L11636,453,3
J42764,26,5
K22325,4921,5
I51873,418,5
G23431,9791,2
K26995,3637,5
K3615,9735,2
J36344,190,5
H50892,611,5
I34443,823,5
M41857,93,5
L35956,735,5
N12678,286,5
F15260,1685,4
I21903,238,4
O29769,3340,3
I49623,120,5
I32183,4084,3
N15488,19,5
M7117,5993,4
M18597,6926,3
O22739,1861,5
H52212,50,2
M28127,4485,3
N43538,158,5
H34072,287,4
H32032,7,5
O42119,1071,5
O43019,2090,5
K35425,316,5
F36820,6729,5
J28314,2730,3
M19077,4040,4
K11195,130,1
M35097,933,4
I11443,490,5
H17232,136,4
M42937,30,5
O39279,966,4
G44301,9050,4
F38960,5071,5
N22138,2214,4
L19876,3023,2
O43209,5004,4
K19075,25,5
H44482,73,5
G4051,263,5
J28184,1397,2
J39884,30,4
I28943,1011,2
O11969,32,1
F13310,5054,4
G23441,688,3
I16943,174,5
L3416,869,3
M46587,347,5
O27719,1382,4
J23594,364,3
O34509,2506,3
O19079,2349,5
H122,4336,2
I39003,1469,4
I8013,94,2
M11627,6596,4
F10640,300,5
I9573,654,1
I13403,4092,4
G29891,248,3
O34839,3224,5
L43706,9669,5
N29338,19,5
L20266,37,5
J18004,1521,4
O18919,2904,4
I36733,16,5
K51065,2105,5
O29649,1629,5
N14118,1036,4
H18172,830,2
N8958,8667,5
O38959,6155,5
O17689,269,5
N24458,2197,4
G18261,5732,3
F25260,1006,4
L21606,85,5
J26374,1388,3
G16031,1658,4
L15426,29,3
J2864,137,3
G48931,18,4
G40501,1815,3
M49777,9053,5
N33498,1003,5
I33943,4127,3
G46621,48,5
I30663,2569,3
O4489,8611,3
N17238,2428,4
H34062,807,4
H48642,1311,5
G23571,22,2
G6721,1089,3
H24022,6707,4
L32416,1221,4
F23660,164,5
F16900,1155,4
G7591,2810,4
L35856,184,3
L11046,9825,3
K9875,6923,4
H53302,477,5
M30047,2547,3
G22591,300,4
K16565,3372,4
G27321,4220,4
G41451,1128,4
H4872,239,4
J13054,1395,4
N41738,17,4
L10176,5383,4
M36847,3327,3
M39407,7,5
I32453,169,5
I31253,662,3
I14873,2939,3
I40833,1022,5
N17908,1603,3
F24200,906,4
O45099,47,3
F4650,640,2
O22779,8511,5
F12670,120,4
I8983,70,5
K12845,5759,4
N27648,1409,4
N39938,123,5
I19893,1,4
J26414,320,5
O27839,7,5
F12670,17,4
G34301,1994,5
O21359,8,3
H18112,894,4
L18756,417,5
J36004,1,4
G49361,1390,3
F12090,424,4
M51317,1232,5
N12988,5345,5
L43866,5957,4
L11496,7654,4
L31276,206,5
L20736,1889,4
J44634,132,1
G49231,364,5
K12505,754,3
N49708,3351,4
H22262,148,4
K46515,9732,4
J41284,8246,3
O6399,2,5
M47907,1429,5
H30792,384,5
M42117,204,3
I43473,270,5
G11031,2290,4
O16479,875,3
I37433,4119,5
K135,1431,4
I2383,12,3
H52852,27,5
I34243,3324,5
K44385,1826,4
I3993,5534,2
I2073,981,3
I37433,2279,5
J3194,42,4
L43606,324,4
H25442,2866,5
M20827,99,4
N9168,1984,3
L37596,10,2
J40504,435,4
O32859,941,3
G48821,369,1
F6780,36,5
L51456,4853,5
N12088,1632,4
J34514,80,5
I8743,633,3
K23385,14,3
M35277,86,3
J16734,1627,5
M51017,20,4
H7682,1291,5
O40759,60,5
G4891,268,3
M41717,7635,4
I20693,387,4
G30581,1253,3
I47973,3731,5
G17911,7085,3
N28678,147,5
H41802,12,4
I46453,3713,4
M23727,5046,3
O19799,6257,5
I10893,323,5
G3661,8611,5
L33316,52,4
K28115,79,4
G29941,2405,3
M49617,358,5
G47411,46,5
N28588,367,5
H48462,431,4
O52429,284,4
J25754,17,4
G43681,270,3
I11513,3170,5
G44301,9319,3
M17617,57,1
K35985,2,4
J4034,226,3
F53330,2297,5
I15783,1530,4
J154,5792,4
I52753,77,5
K41515,9785,3
K34625,3083,2
F35810,351,4
G29151,714,5
M20997,5291,5
I36033,125,5
M18417,385,4
F30560,2412,3
O29499,11,3
M24007,37,5
N39258,5866,4
J8764,1151,3
F50890,59,5
J12424,1247,4
O4769,91,4
H44782,76,5
K50465,356,4
G4541,1452,5
M9427,1030,2
K45015,3233,4
G47271,490,5
M53137,109,5
F28430,26,3
F32640,2576,5
H29882,7625,4
H21792,261,4
J52774,2098,5
N34308,352,2
L8226,11,3
K53005,5163,4
L19496,4428,4
F16350,22,3
F35080,120,3
L2206,6213,3
L38656,337,4
N45358,1585,4
F24380,214,3
O46789,903,2
I1393,83,4
M22507,2920,4
K51455,103,5
I46573,46,3
I37983,501,4
J43754,578,3
K49395,5410,5
K1385,56,2
G16911,289,3
M47417,307,5
O22879,1462,5
N14278,64,2
F38170,214,5
G45551,53,5
I683,638,5
G3881,268,4
J46974,2076,5
L49966,302,3
F14000,8330,4
G30681,89,4
H52812,7374,5
N33468,1501,3
J52814,2488,5
G11181,259,3
O33619,21,3
L32956,814,3
O37569,424,4
F31640,1019,4
H47282,124,1
G45651,30,5
N43358,34,4
G46901,741,5
N25848,13,2
L13956,8637,2
H43842,1344,5
O26579,107,3
L5076,100,5
L29776,8048,4
G1711,71,4
H53022,1024,3
F47870,6346,5
K48625,5631,3
L33556,43,5
L19536,9,5
F35910,1497,4
M7847,4,3
F28970,5,4
H3732,83,3
K49135,61,3
L3496,1631,4
I36903,940,3
G46851,172,4
H14662,6045,3
M44667,979,2
G22271,5896,4
M32627,5876,5
M43997,9,5
I53133,4102,3
J20054,1298,5
J24264,3420,4
G35591,1045,5
M40887,337,4
H11762,3823,3
F30740,698,4
H6292,93,4
I14183,4773,3
K49785,2381,4
I23483,391,4
J10204,736,4
M9177,1481,4
M22547,1726,5
O51209,2797,5
O24229,200,5
N48298,26,4
O35939,245,5
O39559,1682,4
I31813,110,5
G7441,198,3
F39820,361,2
O41589,2452,2
G23511,510,5
I24283,321,5
I5823,3011,1
O45559,74,5
K15615,33,2
I33263,5,4
M7067,308,2
H7432,6075,4
O44259,3062,4
G14261,61,4
K14815,19,5
L43986,5062,5
J31064,299,5
F36460,8293,5
M19957,1056,5
G18521,274,4
I41173,254,2
I47913,51,5
G8221,48,5
O35809,188,5
M11677,957,4
L10346,1235,5
H48832,4453,5
K44495,95,1
N48818,5218,3
M20587,272,2
H19832,3317,5
L17456,2260,5
I30573,1639,1
K27375,220,5
K52845,601,3
F51180,68,5
N18838,37,4
J53324,771,4
G19741,2789,4
L8146,1279,2
F38030,271,5
O9189,31,4
O46709,1702,3
G36271,7447,5
J15364,931,1
O8019,3498,4
N22328,4542,4
L43686,463,4
J35484,3492,5
N45508,4255,5
K17975,37,4
O4769,1145,2
K34625,27,5
O48359,909,3
G32341,4820,3
K21735,4,4
J25064,356,3
I17453,1574,4
H32532,512,4
K7525,6468,4
I5403,12,4
N52958,2832,5
K33755,2988,4
I52073,26,4
I5823,3450,3
L2206,906,3
G34331,20,2
F12280,663,5
O33369,272,3
O43489,653,5
M6327,6423,4
M14757,400,5
I31673,456,5
N28498,65,5
J35594,14,5
O13469,5694,4
F35940,525,5
I8503,410,4
M40607,141,5
I21993,37,3
N34268,310,5
F30,37,4
G16441,616,3
N36538,4248,5
F16580,1392,5
H8802,2556,4
L52706,8015,5
N48068,7783,4
L37206,428,4
H18172,5724,3
L22266,1115,4
N24458,341,5
I34093,1437,5
K25645,919,5
F16500,3953,4
N7518,1039,4
O11969,107,3
F42230,522,4
H42462,5301,5
I36323,7469,4
F42210,134,4
F7190,1265,5
H9482,1362,4
L25736,4380,3
L13356,19,5
F1540,9,5
G49831,2658,5
K50015,8560,5
J48254,2169,3
J24264,3849,5
G11621,457,3
G10631,9276,4
L38046,458,2
O14249,6205,5
F31960,616,5
G26881,250,2
F51440,455,4
G26421,1096,5
F50990,4554,5
O35399,1955,3
L44556,5246,5
G2901,5,3
J19554,395,4
H3432,5012,3
O23899,1307,4
O8419,712,3
K43325,192,5
